city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
Oliveira Fortes,3145703.0,2021-06-18,202124,2130.0,2133.0,True,False,87,4084.50704,2021-06-18,0.023,2,357,city,MG,0,0
Senhora do Porto,3166105.0,2021-06-18,202124,3519.0,3523.0,True,False,87,2472.29327,2021-06-18,0.0115,1,421,city,MG,0,0
Nova Mutum,5106224.0,2021-08-11,202132,46813.0,45378.0,True,False,8696,18576.03657,2021-08-11,0.0151,131,495,city,MT,24,0
Aracatu,2902005.0,2021-07-29,202130,13045.0,13135.0,True,False,869,6661.55615,2021-07-29,0.0196,17,458,city,BA,10,0
Fernando Prestes,3515608.0,2021-08-11,202132,5794.0,5783.0,True,False,869,14998.274080000001,2021-08-11,0.0115,10,457,city,SP,0,0
Ereré,2304277.0,2021-08-09,202132,7225.0,7198.0,True,False,868,12013.84083,2021-08-09,0.0173,15,474,city,CE,10,0
Nortelândia,5106000.0,2021-08-11,202132,5923.0,5989.0,True,False,868,14654.73578,2021-08-11,0.0276,24,421,city,MT,0,0
Baixa Grande,2902609.0,2021-07-29,202130,20449.0,20468.0,True,False,868,4244.70634,2021-07-29,0.0161,14,417,city,BA,9,0
Marcação,2509057.0,2021-08-08,202132,8653.0,8558.0,True,False,868,10031.20305,2021-08-08,0.0115,10,438,city,PB,2,0
Treviso,4218350.0,2021-08-10,202132,3966.0,3929.0,True,False,868,21886.03127,2021-08-10,0.0138,12,452,city,SC,0,0
Tauá,2313302.0,2021-08-09,202132,59062.0,58859.0,True,False,8673,14684.56876,2021-08-09,0.0199,173,482,city,CE,72,0
Cananéia,3509908.0,2021-08-11,202132,12541.0,12540.0,True,False,867,6913.3243,2021-08-11,0.0346,30,481,city,SP,2,1
Nova Campina,3532827.0,2021-08-11,202132,9860.0,9755.0,True,False,867,8793.10345,2021-08-11,0.0381,33,460,city,SP,0,0
Poloni,3539905.0,2021-08-11,202132,6113.0,6059.0,True,False,867,14182.888930000001,2021-08-11,0.0208,18,459,city,SP,0,0
Caratinga,3113404.0,2021-06-18,202124,92603.0,92062.0,True,False,8669,9361.467770000001,2021-06-18,0.0275,238,412,city,MG,43,0
Caçapava,3508504.0,2021-08-11,202132,95018.0,94263.0,True,False,8662,9116.167459999999,2021-08-11,0.0312,270,491,city,SP,4,0
Várzea Nova,2933158.0,2021-07-29,202130,12625.0,12697.0,True,False,866,6859.405940000001,2021-07-29,0.0115,10,455,city,BA,10,0
Camutanga,2603603.0,2021-08-11,202132,8572.0,8551.0,True,False,866,10102.65982,2021-08-11,0.03,26,460,city,PE,0,0
São Pedro do Turvo,3550506.0,2021-08-11,202132,7696.0,7666.0,True,False,866,11252.59875,2021-08-11,0.0127,11,467,city,SP,0,0
Babaçulândia,1703008.0,2021-08-09,202132,10666.0,10664.0,True,False,866,8119.25745,2021-08-09,0.0092,8,451,city,TO,5,1
