free_memory,allocated_memory,max_memory,total_memory,milliseconds
59403.0,131072.0,2097152.0,2025483.0,1629125214324
59403.0,131072.0,2097152.0,2025483.0,1629125214324
59403.0,131072.0,2097152.0,2025483.0,1629125214324
59403.0,131072.0,2097152.0,2025483.0,1629125214325
59403.0,131072.0,2097152.0,2025483.0,1629125214325
59403.0,131072.0,2097152.0,2025483.0,1629125214326
59403.0,131072.0,2097152.0,2025483.0,1629125214326
59403.0,131072.0,2097152.0,2025483.0,1629125214327
59403.0,131072.0,2097152.0,2025483.0,1629125214327
59403.0,131072.0,2097152.0,2025483.0,1629125214327
59403.0,131072.0,2097152.0,2025483.0,1629125214328
59403.0,131072.0,2097152.0,2025483.0,1629125214328
59403.0,131072.0,2097152.0,2025483.0,1629125214328
59403.0,131072.0,2097152.0,2025483.0,1629125214329
59403.0,131072.0,2097152.0,2025483.0,1629125214329
59403.0,131072.0,2097152.0,2025483.0,1629125214329
59403.0,131072.0,2097152.0,2025483.0,1629125214329
59403.0,131072.0,2097152.0,2025483.0,1629125214330
58893.0,131072.0,2097152.0,2024973.0,1629125214330
58893.0,131072.0,2097152.0,2024973.0,1629125214330
58893.0,131072.0,2097152.0,2024973.0,1629125214331
58893.0,131072.0,2097152.0,2024973.0,1629125214331
58893.0,131072.0,2097152.0,2024973.0,1629125214331
58893.0,131072.0,2097152.0,2024973.0,1629125214331
58893.0,131072.0,2097152.0,2024973.0,1629125214332
58893.0,131072.0,2097152.0,2024973.0,1629125214333
58893.0,131072.0,2097152.0,2024973.0,1629125214333
58893.0,131072.0,2097152.0,2024973.0,1629125214334
58893.0,131072.0,2097152.0,2024973.0,1629125214334
58893.0,131072.0,2097152.0,2024973.0,1629125214335
58893.0,131072.0,2097152.0,2024973.0,1629125214335
58893.0,131072.0,2097152.0,2024973.0,1629125214335
58893.0,131072.0,2097152.0,2024973.0,1629125214337
58893.0,131072.0,2097152.0,2024973.0,1629125214338
58893.0,131072.0,2097152.0,2024973.0,1629125214338
58893.0,131072.0,2097152.0,2024973.0,1629125214338
58893.0,131072.0,2097152.0,2024973.0,1629125214339
58365.0,131072.0,2097152.0,2024445.0,1629125214339
58365.0,131072.0,2097152.0,2024445.0,1629125214339
58365.0,131072.0,2097152.0,2024445.0,1629125214340
58365.0,131072.0,2097152.0,2024445.0,1629125214340
58365.0,131072.0,2097152.0,2024445.0,1629125214340
58365.0,131072.0,2097152.0,2024445.0,1629125214340
58365.0,131072.0,2097152.0,2024445.0,1629125214340
58365.0,131072.0,2097152.0,2024445.0,1629125214340
