allocated_memory_MB,total_memory_MB,milliseconds
75.0,903.0,1629818613461
75.0,901.0,1629818613464
75.0,899.0,1629818613467
75.0,941.0,1629818613473
75.0,939.0,1629818613477
75.0,937.0,1629818613480
75.0,935.0,1629818613484
75.0,933.0,1629818613488
75.0,931.0,1629818613491
75.0,928.0,1629818613494
75.0,926.0,1629818613498
75.0,924.0,1629818613501
75.0,922.0,1629818613504
75.0,920.0,1629818613507
75.0,918.0,1629818613511
75.0,916.0,1629818613515
75.0,914.0,1629818613518
75.0,912.0,1629818613521
75.0,910.0,1629818613525
75.0,908.0,1629818613529
75.0,906.0,1629818613533
75.0,903.0,1629818613537
75.0,901.0,1629818613540
75.0,899.0,1629818613543
75.0,941.0,1629818613549
75.0,939.0,1629818613553
75.0,937.0,1629818613556
75.0,935.0,1629818613561
75.0,933.0,1629818613564
75.0,931.0,1629818613568
75.0,929.0,1629818613573
75.0,927.0,1629818613577
75.0,925.0,1629818613580
75.0,923.0,1629818613583
75.0,921.0,1629818613586
75.0,918.0,1629818613589
75.0,916.0,1629818613592
75.0,914.0,1629818613595
75.0,912.0,1629818613598
75.0,910.0,1629818613602
75.0,908.0,1629818613605
75.0,906.0,1629818613608
75.0,904.0,1629818613611
75.0,902.0,1629818613614
75.0,900.0,1629818613618
75.0,942.0,1629818613621
75.0,940.0,1629818613624
75.0,938.0,1629818613627
75.0,936.0,1629818613631
75.0,933.0,1629818613635
75.0,931.0,1629818613637
75.0,929.0,1629818613640
75.0,927.0,1629818613644
75.0,925.0,1629818613647
75.0,923.0,1629818613651
75.0,921.0,1629818613654
75.0,919.0,1629818613657
75.0,917.0,1629818613660
75.0,915.0,1629818613663
75.0,913.0,1629818613667
75.0,911.0,1629818613670
75.0,909.0,1629818613673
75.0,907.0,1629818613676
75.0,905.0,1629818613679
75.0,903.0,1629818613682
75.0,900.0,1629818613685
75.0,898.0,1629818613688
75.0,940.0,1629818613692
75.0,938.0,1629818613696
75.0,936.0,1629818613699
75.0,934.0,1629818613702
75.0,932.0,1629818613705
75.0,930.0,1629818613709
75.0,928.0,1629818613712
75.0,926.0,1629818613715
75.0,924.0,1629818613718
75.0,922.0,1629818613721
75.0,920.0,1629818613724
75.0,918.0,1629818613728
75.0,916.0,1629818613731
75.0,914.0,1629818613735
75.0,912.0,1629818613738
75.0,909.0,1629818613741
75.0,907.0,1629818613744
75.0,905.0,1629818613748
75.0,903.0,1629818613752
75.0,901.0,1629818613755
75.0,899.0,1629818613759
75.0,897.0,1629818613762
90.0,940.0,1629818613769
90.0,938.0,1629818613773
90.0,936.0,1629818613778
90.0,934.0,1629818613782
90.0,932.0,1629818613787
90.0,930.0,1629818613791
90.0,928.0,1629818613795
90.0,926.0,1629818613799
90.0,924.0,1629818613802
90.0,922.0,1629818613805
90.0,920.0,1629818613808
90.0,918.0,1629818613812
90.0,916.0,1629818613815
90.0,913.0,1629818613818
90.0,911.0,1629818613821
90.0,909.0,1629818613824
90.0,907.0,1629818613828
90.0,905.0,1629818613832
90.0,903.0,1629818613836
90.0,901.0,1629818613839
90.0,899.0,1629818613842
90.0,897.0,1629818613846
