allocated_memory_MB,total_memory_MB,milliseconds
90.0,913.0,1629818833314
90.0,909.0,1629818833326
90.0,902.0,1629818833342
90.0,895.0,1629818833356
90.0,891.0,1629818833367
90.0,940.0,1629818833377
90.0,933.0,1629818833397
90.0,929.0,1629818833406
90.0,925.0,1629818833414
90.0,918.0,1629818833429
90.0,914.0,1629818833441
90.0,908.0,1629818833452
90.0,904.0,1629818833461
90.0,898.0,1629818833472
90.0,894.0,1629818833480
90.0,941.0,1629818833491
90.0,937.0,1629818833501
90.0,930.0,1629818833512
90.0,924.0,1629818833522
90.0,918.0,1629818833534
90.0,914.0,1629818833545
90.0,908.0,1629818833557
90.0,904.0,1629818833565
90.0,900.0,1629818833576
90.0,893.0,1629818833587
90.0,940.0,1629818833600
90.0,936.0,1629818833610
90.0,932.0,1629818833620
90.0,926.0,1629818833631
90.0,920.0,1629818833643
90.0,916.0,1629818833654
90.0,912.0,1629818833664
90.0,908.0,1629818833674
90.0,901.0,1629818833686
90.0,895.0,1629818833698
90.0,891.0,1629818833707
90.0,937.0,1629818833721
90.0,931.0,1629818833733
90.0,927.0,1629818833743
90.0,923.0,1629818833752
90.0,920.0,1629818833762
90.0,913.0,1629818833775
90.0,909.0,1629818833784
90.0,905.0,1629818833792
90.0,901.0,1629818833802
90.0,897.0,1629818833811
90.0,891.0,1629818833821
90.0,940.0,1629818833831
90.0,937.0,1629818833841
90.0,933.0,1629818833850
90.0,929.0,1629818833860
90.0,922.0,1629818833872
90.0,918.0,1629818833884
90.0,912.0,1629818833895
90.0,908.0,1629818833903
90.0,904.0,1629818833912
90.0,900.0,1629818833920
90.0,897.0,1629818833930
90.0,893.0,1629818833944
90.0,939.0,1629818833958
90.0,932.0,1629818833971
90.0,926.0,1629818833984
90.0,919.0,1629818833997
90.0,912.0,1629818834009
90.0,905.0,1629818834023
90.0,898.0,1629818834037
90.0,891.0,1629818834050
90.0,937.0,1629818834064
90.0,931.0,1629818834077
90.0,923.0,1629818834091
