allocated_memory_MB,total_memory_MB,milliseconds
75.0,938.0,1629819130385
75.0,936.0,1629819130390
75.0,934.0,1629819130394
75.0,932.0,1629819130399
75.0,930.0,1629819130403
75.0,928.0,1629819130407
75.0,926.0,1629819130410
75.0,924.0,1629819130414
75.0,922.0,1629819130417
75.0,920.0,1629819130420
75.0,917.0,1629819130423
75.0,915.0,1629819130427
75.0,913.0,1629819130430
75.0,911.0,1629819130433
75.0,909.0,1629819130436
75.0,907.0,1629819130439
75.0,905.0,1629819130442
75.0,903.0,1629819130446
75.0,901.0,1629819130450
75.0,899.0,1629819130453
75.0,940.0,1629819130461
75.0,938.0,1629819130465
75.0,936.0,1629819130468
75.0,934.0,1629819130472
75.0,932.0,1629819130475
75.0,930.0,1629819130478
75.0,928.0,1629819130481
75.0,926.0,1629819130485
75.0,924.0,1629819130488
75.0,922.0,1629819130492
75.0,919.0,1629819130496
75.0,917.0,1629819130500
75.0,915.0,1629819130504
75.0,913.0,1629819130508
75.0,911.0,1629819130512
75.0,909.0,1629819130516
75.0,907.0,1629819130519
75.0,905.0,1629819130522
75.0,903.0,1629819130526
75.0,901.0,1629819130530
75.0,899.0,1629819130534
75.0,941.0,1629819130539
75.0,939.0,1629819130543
75.0,937.0,1629819130547
75.0,935.0,1629819130551
75.0,933.0,1629819130554
75.0,931.0,1629819130557
75.0,929.0,1629819130561
75.0,927.0,1629819130565
75.0,925.0,1629819130569
75.0,923.0,1629819130572
75.0,920.0,1629819130576
75.0,918.0,1629819130580
75.0,916.0,1629819130584
75.0,914.0,1629819130587
75.0,912.0,1629819130590
75.0,910.0,1629819130594
75.0,908.0,1629819130598
75.0,906.0,1629819130601
75.0,904.0,1629819130604
75.0,902.0,1629819130608
75.0,900.0,1629819130612
75.0,941.0,1629819130617
75.0,939.0,1629819130620
75.0,937.0,1629819130623
75.0,935.0,1629819130627
75.0,933.0,1629819130631
75.0,931.0,1629819130634
75.0,929.0,1629819130637
75.0,927.0,1629819130641
75.0,925.0,1629819130646
75.0,923.0,1629819130650
75.0,921.0,1629819130653
75.0,919.0,1629819130657
75.0,917.0,1629819130660
75.0,915.0,1629819130664
75.0,912.0,1629819130668
75.0,910.0,1629819130672
75.0,908.0,1629819130677
75.0,906.0,1629819130681
75.0,904.0,1629819130685
75.0,902.0,1629819130688
75.0,900.0,1629819130692
75.0,898.0,1629819130697
75.0,941.0,1629819130701
75.0,939.0,1629819130704
75.0,937.0,1629819130709
75.0,935.0,1629819130714
75.0,933.0,1629819130717
75.0,931.0,1629819130720
75.0,929.0,1629819130724
75.0,927.0,1629819130728
75.0,925.0,1629819130732
75.0,923.0,1629819130735
75.0,921.0,1629819130738
75.0,918.0,1629819130743
75.0,916.0,1629819130748
75.0,914.0,1629819130751
75.0,912.0,1629819130754
75.0,910.0,1629819130758
75.0,908.0,1629819130763
75.0,906.0,1629819130767
75.0,904.0,1629819130770
75.0,902.0,1629819130774
75.0,900.0,1629819130779
75.0,898.0,1629819130783
90.0,941.0,1629819130788
90.0,939.0,1629819130794
90.0,937.0,1629819130799
90.0,935.0,1629819130803
90.0,933.0,1629819130808
90.0,931.0,1629819130813
90.0,929.0,1629819130818
90.0,927.0,1629819130822
90.0,925.0,1629819130826
90.0,923.0,1629819130830
90.0,921.0,1629819130833
90.0,918.0,1629819130837
90.0,916.0,1629819130840
90.0,914.0,1629819130845
90.0,912.0,1629819130849
90.0,910.0,1629819130852
90.0,908.0,1629819130855
90.0,906.0,1629819130860
90.0,904.0,1629819130865
90.0,902.0,1629819130868
90.0,900.0,1629819130871
90.0,898.0,1629819130876
90.0,896.0,1629819130882
90.0,894.0,1629819130886
90.0,892.0,1629819130889
90.0,890.0,1629819130893
90.0,888.0,1629819130897
90.0,940.0,1629819130902
90.0,938.0,1629819130905
90.0,936.0,1629819130908
90.0,934.0,1629819130912
90.0,932.0,1629819130916
90.0,930.0,1629819130919
90.0,928.0,1629819130922
90.0,926.0,1629819130926
90.0,924.0,1629819130930
90.0,922.0,1629819130933
90.0,920.0,1629819130936
90.0,918.0,1629819130939
90.0,916.0,1629819130944
90.0,913.0,1629819130948
90.0,911.0,1629819130951
90.0,909.0,1629819130955
90.0,907.0,1629819130962
90.0,905.0,1629819130966
90.0,903.0,1629819130969
90.0,901.0,1629819130972
90.0,899.0,1629819130976
90.0,897.0,1629819130980
90.0,895.0,1629819130984
90.0,893.0,1629819130988
90.0,891.0,1629819130993
90.0,889.0,1629819130996
90.0,941.0,1629819131001
90.0,939.0,1629819131004
90.0,937.0,1629819131009
90.0,935.0,1629819131012
90.0,933.0,1629819131016
90.0,931.0,1629819131019
90.0,928.0,1629819131022
90.0,926.0,1629819131026
90.0,924.0,1629819131029
90.0,922.0,1629819131033
90.0,920.0,1629819131036
90.0,918.0,1629819131040
90.0,916.0,1629819131044
90.0,914.0,1629819131048
90.0,912.0,1629819131051
90.0,910.0,1629819131054
90.0,908.0,1629819131057
90.0,906.0,1629819131062
90.0,904.0,1629819131066
90.0,902.0,1629819131069
90.0,900.0,1629819131072
90.0,898.0,1629819131076
90.0,896.0,1629819131080
90.0,894.0,1629819131083
90.0,892.0,1629819131086
90.0,890.0,1629819131090
90.0,941.0,1629819131095
90.0,939.0,1629819131099
90.0,937.0,1629819131102
90.0,935.0,1629819131104
90.0,933.0,1629819131108
90.0,931.0,1629819131112
90.0,929.0,1629819131115
90.0,927.0,1629819131119
90.0,925.0,1629819131122
90.0,923.0,1629819131126
90.0,921.0,1629819131130
90.0,919.0,1629819131133
90.0,917.0,1629819131136
90.0,915.0,1629819131140
90.0,913.0,1629819131143
90.0,911.0,1629819131148
90.0,909.0,1629819131150
90.0,907.0,1629819131153
90.0,905.0,1629819131157
90.0,903.0,1629819131161
90.0,901.0,1629819131165
90.0,899.0,1629819131168
90.0,897.0,1629819131171
90.0,895.0,1629819131175
90.0,893.0,1629819131179
90.0,891.0,1629819131183
90.0,889.0,1629819131185
