allocated_memory_MB,total_memory_MB,milliseconds
75.0,906.0,1629819239477
75.0,904.0,1629819239482
75.0,902.0,1629819239487
75.0,900.0,1629819239491
75.0,898.0,1629819239496
75.0,940.0,1629819239504
75.0,938.0,1629819239510
75.0,936.0,1629819239514
75.0,934.0,1629819239519
75.0,932.0,1629819239524
75.0,930.0,1629819239529
75.0,928.0,1629819239533
75.0,925.0,1629819239539
75.0,923.0,1629819239544
75.0,921.0,1629819239548
75.0,919.0,1629819239554
75.0,917.0,1629819239559
75.0,915.0,1629819239564
75.0,913.0,1629819239569
75.0,911.0,1629819239574
75.0,909.0,1629819239579
75.0,907.0,1629819239583
75.0,905.0,1629819239587
75.0,903.0,1629819239592
75.0,901.0,1629819239596
75.0,898.0,1629819239600
75.0,940.0,1629819239607
75.0,938.0,1629819239612
75.0,936.0,1629819239616
75.0,934.0,1629819239621
75.0,932.0,1629819239626
75.0,930.0,1629819239630
75.0,928.0,1629819239635
75.0,926.0,1629819239640
75.0,924.0,1629819239644
75.0,922.0,1629819239649
75.0,920.0,1629819239653
75.0,918.0,1629819239658
75.0,915.0,1629819239663
75.0,913.0,1629819239668
75.0,911.0,1629819239673
75.0,909.0,1629819239678
75.0,907.0,1629819239682
75.0,905.0,1629819239686
75.0,903.0,1629819239691
75.0,901.0,1629819239695
75.0,899.0,1629819239700
75.0,941.0,1629819239705
75.0,939.0,1629819239709
75.0,937.0,1629819239714
75.0,935.0,1629819239718
75.0,933.0,1629819239723
75.0,931.0,1629819239727
75.0,928.0,1629819239731
75.0,926.0,1629819239736
75.0,924.0,1629819239740
75.0,922.0,1629819239744
75.0,920.0,1629819239748
75.0,918.0,1629819239753
75.0,916.0,1629819239757
75.0,914.0,1629819239761
75.0,912.0,1629819239765
75.0,910.0,1629819239769
75.0,908.0,1629819239774
75.0,906.0,1629819239779
75.0,904.0,1629819239783
75.0,902.0,1629819239787
75.0,900.0,1629819239792
90.0,942.0,1629819239798
90.0,939.0,1629819239807
90.0,937.0,1629819239814
90.0,935.0,1629819239819
90.0,933.0,1629819239825
90.0,931.0,1629819239831
90.0,929.0,1629819239836
90.0,927.0,1629819239842
90.0,925.0,1629819239846
90.0,923.0,1629819239850
90.0,921.0,1629819239855
90.0,919.0,1629819239860
90.0,917.0,1629819239864
90.0,915.0,1629819239868
90.0,913.0,1629819239873
90.0,911.0,1629819239878
90.0,909.0,1629819239882
90.0,907.0,1629819239886
90.0,905.0,1629819239891
90.0,903.0,1629819239895
90.0,900.0,1629819239899
90.0,898.0,1629819239903
90.0,896.0,1629819239908
90.0,894.0,1629819239912
90.0,892.0,1629819239916
90.0,890.0,1629819239920
90.0,888.0,1629819239925
90.0,940.0,1629819239930
90.0,938.0,1629819239934
90.0,936.0,1629819239939
90.0,934.0,1629819239943
90.0,932.0,1629819239948
90.0,930.0,1629819239952
90.0,928.0,1629819239957
90.0,926.0,1629819239962
90.0,924.0,1629819239966
90.0,922.0,1629819239970
90.0,920.0,1629819239975
90.0,918.0,1629819239979
90.0,916.0,1629819239983
90.0,913.0,1629819239988
90.0,911.0,1629819239993
90.0,909.0,1629819239997
90.0,907.0,1629819240001
90.0,905.0,1629819240006
90.0,903.0,1629819240011
90.0,901.0,1629819240016
90.0,899.0,1629819240020
90.0,897.0,1629819240024
90.0,895.0,1629819240029
90.0,893.0,1629819240033
90.0,891.0,1629819240037
90.0,889.0,1629819240041
90.0,941.0,1629819240047
90.0,939.0,1629819240051
90.0,937.0,1629819240056
90.0,935.0,1629819240061
90.0,933.0,1629819240064
90.0,931.0,1629819240070
90.0,929.0,1629819240076
90.0,927.0,1629819240081
90.0,925.0,1629819240086
90.0,923.0,1629819240090
90.0,921.0,1629819240095
90.0,919.0,1629819240099
90.0,917.0,1629819240103
90.0,914.0,1629819240109
90.0,912.0,1629819240114
90.0,910.0,1629819240119
90.0,908.0,1629819240123
90.0,906.0,1629819240128
90.0,904.0,1629819240131
90.0,902.0,1629819240135
90.0,900.0,1629819240140
90.0,898.0,1629819240144
90.0,896.0,1629819240148
90.0,894.0,1629819240153
90.0,892.0,1629819240158
90.0,890.0,1629819240162
90.0,941.0,1629819240167
90.0,939.0,1629819240171
90.0,937.0,1629819240176
90.0,935.0,1629819240181
90.0,933.0,1629819240184
90.0,931.0,1629819240189
90.0,929.0,1629819240193
90.0,927.0,1629819240199
90.0,925.0,1629819240203
90.0,923.0,1629819240207
90.0,921.0,1629819240212
90.0,918.0,1629819240217
90.0,916.0,1629819240221
90.0,914.0,1629819240224
90.0,912.0,1629819240228
90.0,910.0,1629819240232
90.0,908.0,1629819240236
90.0,906.0,1629819240240
90.0,904.0,1629819240244
90.0,902.0,1629819240248
90.0,900.0,1629819240252
90.0,898.0,1629819240255
90.0,896.0,1629819240260
90.0,894.0,1629819240264
90.0,892.0,1629819240268
90.0,890.0,1629819240272
90.0,942.0,1629819240278
90.0,940.0,1629819240282
90.0,938.0,1629819240285
90.0,936.0,1629819240289
90.0,934.0,1629819240293
90.0,932.0,1629819240296
90.0,930.0,1629819240300
90.0,928.0,1629819240304
90.0,926.0,1629819240307
90.0,924.0,1629819240311
90.0,922.0,1629819240314
90.0,920.0,1629819240318
90.0,918.0,1629819240322
90.0,916.0,1629819240326
90.0,914.0,1629819240330
90.0,912.0,1629819240334
90.0,910.0,1629819240337
90.0,908.0,1629819240341
90.0,906.0,1629819240344
90.0,904.0,1629819240348
90.0,902.0,1629819240351
90.0,900.0,1629819240355
90.0,898.0,1629819240359
90.0,896.0,1629819240363
90.0,894.0,1629819240368
90.0,892.0,1629819240372
90.0,890.0,1629819240376
90.0,941.0,1629819240381
90.0,939.0,1629819240385
90.0,937.0,1629819240389
90.0,935.0,1629819240393
90.0,933.0,1629819240397
90.0,931.0,1629819240401
90.0,929.0,1629819240405
90.0,927.0,1629819240409
90.0,925.0,1629819240413
90.0,923.0,1629819240416
90.0,921.0,1629819240421
90.0,919.0,1629819240424
90.0,917.0,1629819240428
90.0,915.0,1629819240432
90.0,913.0,1629819240436
90.0,911.0,1629819240440
90.0,909.0,1629819240444
90.0,907.0,1629819240448
90.0,905.0,1629819240452
90.0,902.0,1629819240455
90.0,900.0,1629819240459
90.0,898.0,1629819240464
90.0,896.0,1629819240468
90.0,894.0,1629819240472
90.0,892.0,1629819240476
90.0,890.0,1629819240480
90.0,941.0,1629819240485
90.0,940.0,1629819240489
90.0,938.0,1629819240493
90.0,936.0,1629819240497
90.0,934.0,1629819240501
90.0,932.0,1629819240505
90.0,930.0,1629819240509
90.0,928.0,1629819240514
90.0,926.0,1629819240518
90.0,924.0,1629819240523
90.0,922.0,1629819240527
90.0,920.0,1629819240530
90.0,918.0,1629819240533
90.0,916.0,1629819240538
90.0,914.0,1629819240542
90.0,912.0,1629819240546
